year,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,linear_constant_res,linear_constant_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
2014,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2015,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2016,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2017,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2018,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2019,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2020,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2021,717.9439627,554.8244171,234.6229377,327.5022644,6657.420662,397856.729,92.02921141,0,48.22721409,0,0.174,1
2022,597.3337942,646.4052909,264.3236332,957.8767111,7834.848561,215911.2606,92.66773721,0,59.37558362,0,0.174,1
2023,429.7206377,465.0225661,190.1538492,689.0944311,5636.373084,155326.0932,66.66496943,0,42.71466625,0,0.174,1
2024,405.5983517,438.9186131,179.4795991,650.4122468,5319.976357,146606.8926,62.92274409,0,40.31688661,0,0.174,1
2025,384.9612536,416.5861592,170.3475647,617.3188644,5049.292628,139147.4421,59.72119547,0,38.26553817,0,0.174,1
2026,371.0910658,401.5765234,164.209927,595.0768115,4867.366172,134133.9476,57.56943556,0,36.88682747,0,0.174,1
2027,357.2208781,386.5668875,158.0722893,572.8347587,4685.439715,129120.453,55.41767564,0,35.50811678,0,0.174,1
2028,343.3506904,371.5572516,151.9346516,550.5927059,4503.513259,124106.9585,53.26591573,0,34.12940608,0,0.174,1
2029,329.4805026,356.5476158,145.7970139,528.350653,4321.586803,119093.4639,51.11415582,0,32.75069538,0,0.174,1
2030,315.6103149,341.5379799,139.6593762,506.1086002,4139.660346,114079.9694,48.96239591,0,31.37198469,0,0.174,1
2031,309.6752345,335.1153274,137.0330691,496.5911823,4061.81366,111934.6853,48.04165364,0,30.78203169,0,0.174,1
2032,303.740154,328.6926749,134.4067619,487.0737645,3983.966974,109789.4012,47.12091137,0,30.19207869,0,0.174,1
2033,297.8050736,322.2700224,131.7804548,477.5563466,3906.120289,107644.1171,46.2001691,0,29.60212569,0,0.174,1
2034,291.8699932,315.8473699,129.1541476,468.0389288,3828.273603,105498.8329,45.27942684,0,29.01217269,0,0.174,1
2035,285.9349128,309.4247174,126.5278404,458.5215109,3750.426917,103353.5488,44.35868457,0,28.42221969,0,0.174,1
2036,279.9998324,303.0020649,123.9015333,449.0040931,3672.580231,101208.2647,43.4379423,0,27.83226669,0,0.174,1
2037,274.0647519,296.5794124,121.2752261,439.4866753,3594.733545,99062.98062,42.51720003,0,27.24231369,0,0.174,1
2038,268.1296715,290.1567599,118.648919,429.9692574,3516.886859,96917.69652,41.59645776,0,26.65236069,0,0.174,1
2039,262.1945911,283.7341074,116.0226118,420.4518396,3439.040173,94772.41241,40.67571549,0,26.06240769,0,0.174,1
2040,256.2595107,277.3114549,113.3963047,410.9344217,3361.193487,92627.1283,39.75497322,0,25.47245469,0,0.174,1
2041,250.3244303,270.8888024,110.7699975,401.4170039,3283.346801,90481.8442,38.83423096,0,24.88250169,0,0.174,1
2042,244.3893498,264.4661499,108.1436903,391.899586,3205.500115,88336.56009,37.91348869,0,24.29254869,0,0.174,1
2043,238.4542694,258.0434974,105.5173832,382.3821682,3127.653429,86191.27598,36.99274642,0,23.70259569,0,0.174,1
2044,232.519189,251.6208449,102.891076,372.8647503,3049.806743,84045.99187,36.07200415,0,23.11264269,0,0.174,1
2045,226.5841086,245.1981924,100.2647689,363.3473325,2971.960057,81900.70777,35.15126188,0,22.52268969,0,0.174,1
2046,220.6490282,238.7755399,97.6384617,353.8299146,2894.113371,79755.42366,34.23051961,0,21.93273669,0,0.174,1
2047,214.7139477,232.3528874,95.01215454,344.3124968,2816.266685,77610.13955,33.30977735,0,21.34278369,0,0.174,1
2048,208.7788673,225.930235,92.38584738,334.795079,2738.419999,75464.85545,32.38903508,0,20.75283069,0,0.174,1
2049,202.8437869,219.5075825,89.75954022,325.2776611,2660.573313,73319.57134,31.46829281,0,20.16287769,0,0.174,1
2050,196.9087065,213.08493,87.13323306,315.7602433,2582.726627,71174.28723,30.54755054,0,19.57292469,0,0.174,1
