TX,Texas
CA,California
FL,Florida
NY,New York
IL,Illinois
GA,Georgia
PA,Pennsylvania
OH,Ohio
VA,Virginia
NC,North Carolina
MI,Michigan
MO,Missouri
TN,Tennessee
KY,Kentucky
IN,Indiana
MN,Minnesota
NJ,New Jersey
KS,Kansas
CO,Colorado
WA,Washington
WI,Wisconsin
IA,Iowa
NE,Nebraska
AZ,Arizona
AL,Alabama
OK,Oklahoma
MA,Massachusetts
LA,Louisiana
MS,Mississippi
AR,Arkansas
SC,South Carolina
MD,Maryland
OR,Oregon
SD,South Dakota
WV,West Virginia
MT,Montana
ND,North Dakota
ID,Idaho
UT,Utah
CT,Connecticut
NV,Nevada
NM,New Mexico
ME,Maine
